id,tweet,Entity,Label,Start,End
1278127429173870592,"As # ImmigrantHeritageMonth comes to a close, I want to make one thing clear: Immigrants have always made our nation stronger — our diversity is, and has always been, our greatest strength. Donald Trump doesn't get that — we need a president who does.",ImmigrantHeritageMonth,MONEY,5,27
1278127429173870592,"As # ImmigrantHeritageMonth comes to a close, I want to make one thing clear: Immigrants have always made our nation stronger — our diversity is, and has always been, our greatest strength. Donald Trump doesn't get that — we need a president who does.",one,CARDINAL,61,64
1278127429173870592,"As # ImmigrantHeritageMonth comes to a close, I want to make one thing clear: Immigrants have always made our nation stronger — our diversity is, and has always been, our greatest strength. Donald Trump doesn't get that — we need a president who does.",Donald Trump,PERSON,190,202
1278119879443460101,"Folks, we’re just a few hours away from our end-of-quarter deadline, and we need your help to hit our goal. Every donation — big or small — goes a long way to helping us catch up to Donald Trump. If you can, please chip in today:https://secure.actblue.com/donate/biden2020_fr_q22020-social14?refcode=social-tw-20200630eoq2&utm_medium=social&utm_source=tw&utm_campaign=20200630eoq2 …",just a few hours,TIME,13,29
1278119879443460101,"Folks, we’re just a few hours away from our end-of-quarter deadline, and we need your help to hit our goal. Every donation — big or small — goes a long way to helping us catch up to Donald Trump. If you can, please chip in today:https://secure.actblue.com/donate/biden2020_fr_q22020-social14?refcode=social-tw-20200630eoq2&utm_medium=social&utm_source=tw&utm_campaign=20200630eoq2 …",Donald Trump,PERSON,182,194
1278119879443460101,"Folks, we’re just a few hours away from our end-of-quarter deadline, and we need your help to hit our goal. Every donation — big or small — goes a long way to helping us catch up to Donald Trump. If you can, please chip in today:https://secure.actblue.com/donate/biden2020_fr_q22020-social14?refcode=social-tw-20200630eoq2&utm_medium=social&utm_source=tw&utm_campaign=20200630eoq2 …",today,DATE,223,228
1278112329658281985,"On the final day of # PrideMonth, here’s my promise to you: If I have the honor of being elected, I will be the most pro-equality president in our nation’s history. LGBTQ+ rights are human rights — and we can't rest until everyone is treated with dignity and respect under the law.",the final day,DATE,3,16
1278094713543888897,We’re facing a serious threat — and we need to meet it together as one country. But this President gives us no direction and actively pits us against one another. We can't continue on like this.pic.twitter.com/LA8OJ86Nnk,one,CARDINAL,67,70
1278069548076331008,"If I’m elected, I’ll immediately reach out to Dr. Fauci and ask him to continue his incredible service to our country. I’ll have the nation’s top medical experts and scientists ready to advise our response on day one — and I'll actually listen to them.",Fauci,PERSON,50,55
1278069548076331008,"If I’m elected, I’ll immediately reach out to Dr. Fauci and ask him to continue his incredible service to our country. I’ll have the nation’s top medical experts and scientists ready to advise our response on day one — and I'll actually listen to them.",day one,DATE,209,216
1278046898536898560,"Mr. President, the American people didn’t make enormous sacrifices over the past four months so you could waste your time with late night rants and tweets. Step up. Take responsibility. Do your job.",President,PERSON,4,13
1278046898536898560,"Mr. President, the American people didn’t make enormous sacrifices over the past four months so you could waste your time with late night rants and tweets. Step up. Take responsibility. Do your job.",American,NORP,19,27
1278046898536898560,"Mr. President, the American people didn’t make enormous sacrifices over the past four months so you could waste your time with late night rants and tweets. Step up. Take responsibility. Do your job.",the past four months,DATE,72,92
1278046898536898560,"Mr. President, the American people didn’t make enormous sacrifices over the past four months so you could waste your time with late night rants and tweets. Step up. Take responsibility. Do your job.",late night,TIME,127,137
1278012801143865344,"Tune in as I deliver remarks on how President Trump failed to protect the American people, save our economy, and control the virus:https://www.pscp.tv/w/ccoXyjFvUEVMQkJiT2xyS2R8MU9kSnJXa0xBd1B4WAxnrlhpHD-uPOzVgsBXBZyqLckiW9nhhXZ4Yq2ubIwS …",Trump,PERSON,46,51
1278012801143865344,"Tune in as I deliver remarks on how President Trump failed to protect the American people, save our economy, and control the virus:https://www.pscp.tv/w/ccoXyjFvUEVMQkJiT2xyS2R8MU9kSnJXa0xBd1B4WAxnrlhpHD-uPOzVgsBXBZyqLckiW9nhhXZ4Yq2ubIwS …",American,NORP,74,82
1277985745609908225,"I want every single American to know: if you’re sick, if you’re struggling, if you’re worried about how you’re going to get through the day — I will not abandon you. I will not leave you to face these challenges alone. We are going to get through this — together.",American,NORP,20,28
1277985745609908225,"I want every single American to know: if you’re sick, if you’re struggling, if you’re worried about how you’re going to get through the day — I will not abandon you. I will not leave you to face these challenges alone. We are going to get through this — together.",the day,DATE,132,139
1277761266757431299,"As simple as it sounds, we need a president who listens. So much of this could have been prevented if Donald Trump listened to someone other than himself.",Donald Trump,PERSON,102,114
1277743650412408839,"Folks, tomorrow night marks our first end-of-quarter deadline of the general election. We need your help to hit our goal so we can catch up to Donald Trump's hefty cash-on-hand advantage. I know times are tough, but if you're able, please chip in today:https://secure.actblue.com/donate/biden2020_fr_q22020-social14?refcode=social-tw-20200629eoq1&utm_medium=social&utm_source=tw&utm_campaign=20200629eoq1 …",tomorrow,DATE,7,15
1277743650412408839,"Folks, tomorrow night marks our first end-of-quarter deadline of the general election. We need your help to hit our goal so we can catch up to Donald Trump's hefty cash-on-hand advantage. I know times are tough, but if you're able, please chip in today:https://secure.actblue.com/donate/biden2020_fr_q22020-social14?refcode=social-tw-20200629eoq1&utm_medium=social&utm_source=tw&utm_campaign=20200629eoq1 …",first,ORDINAL,32,37
1277743650412408839,"Folks, tomorrow night marks our first end-of-quarter deadline of the general election. We need your help to hit our goal so we can catch up to Donald Trump's hefty cash-on-hand advantage. I know times are tough, but if you're able, please chip in today:https://secure.actblue.com/donate/biden2020_fr_q22020-social14?refcode=social-tw-20200629eoq1&utm_medium=social&utm_source=tw&utm_campaign=20200629eoq1 …",Donald Trump's,PERSON,143,157
1277743650412408839,"Folks, tomorrow night marks our first end-of-quarter deadline of the general election. We need your help to hit our goal so we can catch up to Donald Trump's hefty cash-on-hand advantage. I know times are tough, but if you're able, please chip in today:https://secure.actblue.com/donate/biden2020_fr_q22020-social14?refcode=social-tw-20200629eoq1&utm_medium=social&utm_source=tw&utm_campaign=20200629eoq1 …",today,DATE,247,252
1277695835413925888,"Today's decision reaffirmed that states can't put in place laws that unduly burden a woman's right to make her own health care decisions—but the fight isn't over. As President, I'll codify Roe v. Wade and protect a woman’s constitutional right to choose.https://medium.com/@JoeBiden/my-statement-on-june-medical-services-vs-russo-6e903c5b1e7e …",Today,DATE,0,5
1277695835413925888,"Today's decision reaffirmed that states can't put in place laws that unduly burden a woman's right to make her own health care decisions—but the fight isn't over. As President, I'll codify Roe v. Wade and protect a woman’s constitutional right to choose.https://medium.com/@JoeBiden/my-statement-on-june-medical-services-vs-russo-6e903c5b1e7e …",Roe v. Wade,LAW,189,200
1277658086556209155,"It's time we remember who we are as Americans: we treat each other with dignity and respect, we leave nobody behind, and we give hate no safe harbor. We are everything that Donald Trump is not.",Americans,NORP,36,45
1277658086556209155,"It's time we remember who we are as Americans: we treat each other with dignity and respect, we leave nobody behind, and we give hate no safe harbor. We are everything that Donald Trump is not.",Donald Trump,PERSON,173,185
1277637790965129216,"William Perry Pendley spent his career fighting to sell off public lands — and to allow drilling, mining, and logging on them with hardly any oversight. Now the President has nominated him to oversee them at @ BLMNational. Consider me opposed.https://twitter.com/CNN/status/1276694254195290118 …",William Perry Pendley,PERSON,0,21
1277398878526963712,White supremacy should be rooted out and relegated to the pages of history — not promoted by the President of the United States.,the United States,GPE,110,127
1277388390518964225,The arc of the moral universe bent a little bit more today.https://twitter.com/ZekeJMiller/status/1277375979573391365 …,today.https://twitter.com/ZekeJMiller/status/1277375979573391365,CARDINAL,53,117
1277368680276344832,Obamacare was and is a big deal. We can't let Donald Trump tear it down — we have to protect and build on it.pic.twitter.com/P9QZvidZmD,Obamacare,ORG,0,9
1277368680276344832,Obamacare was and is a big deal. We can't let Donald Trump tear it down — we have to protect and build on it.pic.twitter.com/P9QZvidZmD,Donald Trump,PERSON,46,58
1277346032427425799,"51 years ago today, a movement was born on Christopher Street. As we remember the anniversary of the Stonewall Uprising and the brave individuals who changed our world forever, let's recommit to finishing the job and finally achieving full LGBTQ+ equality. # Pridepic.twitter.com/PzbGOMy0zx",51 years ago today,DATE,0,18
1277346032427425799,"51 years ago today, a movement was born on Christopher Street. As we remember the anniversary of the Stonewall Uprising and the brave individuals who changed our world forever, let's recommit to finishing the job and finally achieving full LGBTQ+ equality. # Pridepic.twitter.com/PzbGOMy0zx",Christopher Street,FAC,43,61
1277346032427425799,"51 years ago today, a movement was born on Christopher Street. As we remember the anniversary of the Stonewall Uprising and the brave individuals who changed our world forever, let's recommit to finishing the job and finally achieving full LGBTQ+ equality. # Pridepic.twitter.com/PzbGOMy0zx",the Stonewall Uprising,FAC,97,119
1277346032427425799,"51 years ago today, a movement was born on Christopher Street. As we remember the anniversary of the Stonewall Uprising and the brave individuals who changed our world forever, let's recommit to finishing the job and finally achieving full LGBTQ+ equality. # Pridepic.twitter.com/PzbGOMy0zx",Pridepic.twitter.com/PzbGOMy0zx,PERSON,259,290
1277318851160506369,"Donald Trump's entire presidency has been a gift to Putin, but this is beyond the pale. It’s a betrayal of the most sacred duty we bear as a nation, to protect and equip our troops when we send them into harm’s way.https://www.nytimes.com/2020/06/27/us/politics/trump-russia-bounties-afghanistan.html …",Donald Trump's,PERSON,0,14
1277318851160506369,"Donald Trump's entire presidency has been a gift to Putin, but this is beyond the pale. It’s a betrayal of the most sacred duty we bear as a nation, to protect and equip our troops when we send them into harm’s way.https://www.nytimes.com/2020/06/27/us/politics/trump-russia-bounties-afghanistan.html …",Putin,PERSON,52,57
1277295195348807680,Today the President shared a video of people shouting “white power” and said they were “great.” Just like he did after Charlottesville. We’re in a battle for the soul of the nation — and the President has picked a side. But make no mistake: it’s a battle we will win.,Today,DATE,0,5
1277295195348807680,Today the President shared a video of people shouting “white power” and said they were “great.” Just like he did after Charlottesville. We’re in a battle for the soul of the nation — and the President has picked a side. But make no mistake: it’s a battle we will win.,Charlottesville,PERSON,119,134
1276971562843795457,"Every day that Donald Trump sits in the Oval Office, he proves just how unfit he is to lead our nation.",Every day,DATE,0,9
1276971562843795457,"Every day that Donald Trump sits in the Oval Office, he proves just how unfit he is to lead our nation.",Donald Trump,PERSON,15,27
1276971562843795457,"Every day that Donald Trump sits in the Oval Office, he proves just how unfit he is to lead our nation.",the Oval Office,ORG,36,51
1276896820547985409,"If Donald Trump prevails in the U.S. Supreme Court, insurers could strip away your health insurance coverage or jack up premiums — simply because you experience long-term effects after battling the coronavirus. We can't let that happen.https://www.nbcnews.com/politics/2020-election/biden-rips-trump-s-coronavirus-response-obamacare-assault-fiery-speech-n1232137 …",Donald Trump,PERSON,3,15
1276896820547985409,"If Donald Trump prevails in the U.S. Supreme Court, insurers could strip away your health insurance coverage or jack up premiums — simply because you experience long-term effects after battling the coronavirus. We can't let that happen.https://www.nbcnews.com/politics/2020-election/biden-rips-trump-s-coronavirus-response-obamacare-assault-fiery-speech-n1232137 …",the U.S. Supreme Court,ORG,28,50
1276683990594879493,Equal representation and participation matter. # DCStatehoodhttps://twitter.com/AP/status/1276590626356768768 …,DCStatehoodhttps://twitter.com/AP/status/1276590626356768768,PERSON,49,109
1276666804782407680,"I know these times are dark, but I firmly believe that our best days still lie ahead. If we come together as one America, there's nothing that we can't accomplish.",our best days,DATE,55,68
1276666804782407680,"I know these times are dark, but I firmly believe that our best days still lie ahead. If we come together as one America, there's nothing that we can't accomplish.",one,CARDINAL,109,112
1276666804782407680,"I know these times are dark, but I firmly believe that our best days still lie ahead. If we come together as one America, there's nothing that we can't accomplish.",America,GPE,113,120
1276645916988993537,Health care is a right for all — not a privilege for the few. We have to ensure every single American has access to the care they need and deserve. Here’s what I would do as president: http://JoeBiden.com/HealthCare pic.twitter.com/4zuTzH6zt9,American,NORP,93,101
1276609021026459650,"Congratulations, Alexis. We need you in this fight. Proud to stand with you and Planned Parenthood Action Fund.https://twitter.com/alexismcgill/status/1276564092765995011 …",Planned Parenthood Action,ORG,80,105
1276569916427120640,Donald Trump is acting like a child who just can’t believe this pandemic has happened to him.pic.twitter.com/06xilwAmlV,Donald Trump,PERSON,0,12
1276539465830449154,"Last week, President Trump claimed the virus would 'fade away.' Now, we're facing a record-high number of new cases, and it's surging across the country. Trump refuses to listen to the experts and take action — and we're all paying the price.",Last week,DATE,0,9
1276539465830449154,"Last week, President Trump claimed the virus would 'fade away.' Now, we're facing a record-high number of new cases, and it's surging across the country. Trump refuses to listen to the experts and take action — and we're all paying the price.",Trump,PERSON,21,26
1276539465830449154,"Last week, President Trump claimed the virus would 'fade away.' Now, we're facing a record-high number of new cases, and it's surging across the country. Trump refuses to listen to the experts and take action — and we're all paying the price.",Trump,PRODUCT,154,159
1276296615377145856,Donald Trump is the worst possible person to lead us through a global pandemic.,Donald Trump,PERSON,0,12
1276271018143879168,"The American people have sacrificed so much to fight this virus — we've lost lives, businesses, paychecks. And now, we're losing the progress we've made because this president refuses to do his job. Donald Trump has failed our nation every step of the way.https://twitter.com/axios/status/1276104235021733888 …",American,NORP,4,12
1276271018143879168,"The American people have sacrificed so much to fight this virus — we've lost lives, businesses, paychecks. And now, we're losing the progress we've made because this president refuses to do his job. Donald Trump has failed our nation every step of the way.https://twitter.com/axios/status/1276104235021733888 …",Donald Trump,PERSON,199,211
1276252130731610112,"While President Trump continues his victory lap, over 20 million Americans remain out of work. He may have forgotten about you, but I never will — and I'll fight for you every single day in the White House.https://twitter.com/NBCNews/status/1276132200224866310 …",Trump,PERSON,16,21
1276252130731610112,"While President Trump continues his victory lap, over 20 million Americans remain out of work. He may have forgotten about you, but I never will — and I'll fight for you every single day in the White House.https://twitter.com/NBCNews/status/1276132200224866310 …",over 20 million,CARDINAL,49,64
1276252130731610112,"While President Trump continues his victory lap, over 20 million Americans remain out of work. He may have forgotten about you, but I never will — and I'll fight for you every single day in the White House.https://twitter.com/NBCNews/status/1276132200224866310 …",Americans,NORP,65,74
1276252130731610112,"While President Trump continues his victory lap, over 20 million Americans remain out of work. He may have forgotten about you, but I never will — and I'll fight for you every single day in the White House.https://twitter.com/NBCNews/status/1276132200224866310 …",every single day,DATE,170,186
1276225221486243840,"While the Trump Administration continues their efforts to rip health care away from millions, I'm speaking about how we can make quality, affordable health care available to every American. Tune in:https://www.pscp.tv/w/ccOW-jFvUEVMQkJiT2xyS2R8MWdxeHZhd1liWm5KQlYmrgi-ZVvxCoBsama9DXYLS_bpT7ftbW5_A8JWf7DM …",the Trump Administration,ORG,6,30
1276225221486243840,"While the Trump Administration continues their efforts to rip health care away from millions, I'm speaking about how we can make quality, affordable health care available to every American. Tune in:https://www.pscp.tv/w/ccOW-jFvUEVMQkJiT2xyS2R8MWdxeHZhd1liWm5KQlYmrgi-ZVvxCoBsama9DXYLS_bpT7ftbW5_A8JWf7DM …",millions,CARDINAL,84,92
1276225221486243840,"While the Trump Administration continues their efforts to rip health care away from millions, I'm speaking about how we can make quality, affordable health care available to every American. Tune in:https://www.pscp.tv/w/ccOW-jFvUEVMQkJiT2xyS2R8MWdxeHZhd1liWm5KQlYmrgi-ZVvxCoBsama9DXYLS_bpT7ftbW5_A8JWf7DM …",American,NORP,180,188
1276218601528229888,Health care workers are selflessly risking their lives every day on the front lines of the fight against COVID-19 — and hundreds have paid the ultimate price. They are American heroes — and we cannot forget the sacrifices they made to care for us all.https://www.washingtonpost.com/graphics/2020/health/healthcare-workers-death-coronavirus/ …,every day,DATE,55,64
1276218601528229888,Health care workers are selflessly risking their lives every day on the front lines of the fight against COVID-19 — and hundreds have paid the ultimate price. They are American heroes — and we cannot forget the sacrifices they made to care for us all.https://www.washingtonpost.com/graphics/2020/health/healthcare-workers-death-coronavirus/ …,hundreds,CARDINAL,120,128
1276218601528229888,Health care workers are selflessly risking their lives every day on the front lines of the fight against COVID-19 — and hundreds have paid the ultimate price. They are American heroes — and we cannot forget the sacrifices they made to care for us all.https://www.washingtonpost.com/graphics/2020/health/healthcare-workers-death-coronavirus/ …,American,NORP,168,176
1276197965451780096,"Democracy is under threat globally. Restoring the soul of America means fixing democracy at home, and confronting — not cozying up to — dictators around the world. When I'm president, America will defend democracy at home and abroad.https://www.idea.int/news-media/multimedia-reports/call-defend-democracy …",America,GPE,58,65
1276197965451780096,"Democracy is under threat globally. Restoring the soul of America means fixing democracy at home, and confronting — not cozying up to — dictators around the world. When I'm president, America will defend democracy at home and abroad.https://www.idea.int/news-media/multimedia-reports/call-defend-democracy …",America,GPE,184,191
1275919129292095488,"Tonight, @ DrBiden and I will be hosting 'A Community of Pride' to celebrate the 50th anniversary of the world's first Pride march. Join us, @ theebillyporter, @ jvn, @ catcora, and @ K_JeanPierre at 7:30 PM ET: https://joe.link/3fVTp5e pic.twitter.com/J3uKJ3Q6EF",Tonight,TIME,0,7
1275919129292095488,"Tonight, @ DrBiden and I will be hosting 'A Community of Pride' to celebrate the 50th anniversary of the world's first Pride march. Join us, @ theebillyporter, @ jvn, @ catcora, and @ K_JeanPierre at 7:30 PM ET: https://joe.link/3fVTp5e pic.twitter.com/J3uKJ3Q6EF",DrBiden,PERSON,11,18
1275919129292095488,"Tonight, @ DrBiden and I will be hosting 'A Community of Pride' to celebrate the 50th anniversary of the world's first Pride march. Join us, @ theebillyporter, @ jvn, @ catcora, and @ K_JeanPierre at 7:30 PM ET: https://joe.link/3fVTp5e pic.twitter.com/J3uKJ3Q6EF",A Community of Pride',WORK_OF_ART,42,63
1275919129292095488,"Tonight, @ DrBiden and I will be hosting 'A Community of Pride' to celebrate the 50th anniversary of the world's first Pride march. Join us, @ theebillyporter, @ jvn, @ catcora, and @ K_JeanPierre at 7:30 PM ET: https://joe.link/3fVTp5e pic.twitter.com/J3uKJ3Q6EF",50th,ORDINAL,81,85
1275919129292095488,"Tonight, @ DrBiden and I will be hosting 'A Community of Pride' to celebrate the 50th anniversary of the world's first Pride march. Join us, @ theebillyporter, @ jvn, @ catcora, and @ K_JeanPierre at 7:30 PM ET: https://joe.link/3fVTp5e pic.twitter.com/J3uKJ3Q6EF",march,DATE,125,130
1275919129292095488,"Tonight, @ DrBiden and I will be hosting 'A Community of Pride' to celebrate the 50th anniversary of the world's first Pride march. Join us, @ theebillyporter, @ jvn, @ catcora, and @ K_JeanPierre at 7:30 PM ET: https://joe.link/3fVTp5e pic.twitter.com/J3uKJ3Q6EF",jvn,ORG,162,165
1275919129292095488,"Tonight, @ DrBiden and I will be hosting 'A Community of Pride' to celebrate the 50th anniversary of the world's first Pride march. Join us, @ theebillyporter, @ jvn, @ catcora, and @ K_JeanPierre at 7:30 PM ET: https://joe.link/3fVTp5e pic.twitter.com/J3uKJ3Q6EF",7:30 PM,TIME,200,207
1275903127808618504,"I am proud to have the @ NRDC_AF, under the exceptional leadership of my friend Gina McCarthy, by my side. Together, we'll lead the world in a clean energy revolution that will help us reduce our carbon emissions and create good-paying union jobs.https://twitter.com/NRDC_AF/status/1275843918932951042 …",the @ NRDC_AF,ORG,19,32
1275903127808618504,"I am proud to have the @ NRDC_AF, under the exceptional leadership of my friend Gina McCarthy, by my side. Together, we'll lead the world in a clean energy revolution that will help us reduce our carbon emissions and create good-paying union jobs.https://twitter.com/NRDC_AF/status/1275843918932951042 …",Gina McCarthy,PERSON,80,93
1275842575803527169,"Brian — the courage and strength you've shown in the face of daunting odds is an inspiration to us all. I'm confident that with folks like you leading the way and with the power of our best minds, we'll find treatments and cures and beat this thing once and for all.https://twitter.com/WIRED/status/1275734053187211264 …",Brian,PERSON,0,5
1275609235171180545,"Instead of passing police reform or helping hardworking Americans get through this crisis, Republicans are jamming through another one of Trump’s unqualified nominees. It's wrong. Cory Wilson lacks judicial temperament and experience—and has no place on a Federal Court.https://twitter.com/madialder/status/1275546825781633030 …",Americans,NORP,56,65
1275609235171180545,"Instead of passing police reform or helping hardworking Americans get through this crisis, Republicans are jamming through another one of Trump’s unqualified nominees. It's wrong. Cory Wilson lacks judicial temperament and experience—and has no place on a Federal Court.https://twitter.com/madialder/status/1275546825781633030 …",Republicans,NORP,91,102
1275609235171180545,"Instead of passing police reform or helping hardworking Americans get through this crisis, Republicans are jamming through another one of Trump’s unqualified nominees. It's wrong. Cory Wilson lacks judicial temperament and experience—and has no place on a Federal Court.https://twitter.com/madialder/status/1275546825781633030 …",Trump,PRODUCT,138,143
1275609235171180545,"Instead of passing police reform or helping hardworking Americans get through this crisis, Republicans are jamming through another one of Trump’s unqualified nominees. It's wrong. Cory Wilson lacks judicial temperament and experience—and has no place on a Federal Court.https://twitter.com/madialder/status/1275546825781633030 …",Cory Wilson,PERSON,180,191
1275575614607691776,"To everyone who is scared, hurting, and wondering what's going to happen next: I want you to know I see you. I hear you. And I'll fight for you every single day in the White House.pic.twitter.com/UDQiuTX69L",every single day,DATE,144,160
1275575614607691776,"To everyone who is scared, hurting, and wondering what's going to happen next: I want you to know I see you. I hear you. And I'll fight for you every single day in the White House.pic.twitter.com/UDQiuTX69L",the White House.pic.twitter.com/UDQiuTX69L,FAC,164,206
1275558250109272064,Our planet cannot take four more years of Donald Trump.https://www.cbsnews.com/news/arctic-hottest-temperature-ever/ …,four more years,DATE,23,38
1275558250109272064,Our planet cannot take four more years of Donald Trump.https://www.cbsnews.com/news/arctic-hottest-temperature-ever/ …,Donald Trump.https://www.cbsnews.com/news/arctic-hottest-temperature-ever/,PERSON,42,116
1275522767094517760,"The American people are tough, resilient, and always full of hope. There’s not a single thing we can't do if we do it together.",American,NORP,4,12
1275496343872712705,It's clear Donald Trump will stop at nothing to tear down Obamacare and rip health care away from millions. We cannot let him get away with it. We have to build on the ACA with a new public option to ensure everyone receives the care they deserve.http://JoeBiden.com/healthcare,Donald Trump,PERSON,11,23
1275496343872712705,It's clear Donald Trump will stop at nothing to tear down Obamacare and rip health care away from millions. We cannot let him get away with it. We have to build on the ACA with a new public option to ensure everyone receives the care they deserve.http://JoeBiden.com/healthcare,Obamacare,PERSON,58,67
1275496343872712705,It's clear Donald Trump will stop at nothing to tear down Obamacare and rip health care away from millions. We cannot let him get away with it. We have to build on the ACA with a new public option to ensure everyone receives the care they deserve.http://JoeBiden.com/healthcare,millions,CARDINAL,98,106
1275496343872712705,It's clear Donald Trump will stop at nothing to tear down Obamacare and rip health care away from millions. We cannot let him get away with it. We have to build on the ACA with a new public option to ensure everyone receives the care they deserve.http://JoeBiden.com/healthcare,ACA,ORG,168,171
1275430918946263041,This is yet another attempt to distract from this Administration's failure to lead an effective response to COVID-19. Immigrants help grow our economy and create jobs. The President can't scapegoat his way out of this crisis.https://twitter.com/nprpolitics/status/1275167959699374080 …,Administration,ORG,50,64
1275233359615180800,"It's worth repeating that this weekend, President Trump admitted he directed his administration to slow down coronavirus testing in the middle of a global pandemic. He continues to prove just how unfit he is to lead our nation.",this weekend,DATE,26,38
1275233359615180800,"It's worth repeating that this weekend, President Trump admitted he directed his administration to slow down coronavirus testing in the middle of a global pandemic. He continues to prove just how unfit he is to lead our nation.",Trump,PERSON,50,55
1275218260116549633,"To Ashley, and all the health care workers on the front lines of this fight, thank you. You are American heroes.pic.twitter.com/B6UCR5xmhc",Ashley,PERSON,3,9
1275218260116549633,"To Ashley, and all the health care workers on the front lines of this fight, thank you. You are American heroes.pic.twitter.com/B6UCR5xmhc",American,NORP,96,104
1275203915403927555,"Tomorrow, President @ BarackObama and I are hosting a virtual grassroots fundraiser. We’ll be answering some of your questions and taking a few trips down memory lane. You won’t want to miss it. Time is running out to reserve your spot. RSVP today:https://secure.actblue.com/donate/biden2020_obama_grassrootsfr?source=social-tw-20200622jrcsocial&refcode=social-tw-20200622jrbsocial&utm_medium=social&utm_source=tw&utm_campaign=20200622jrbsocial …",Tomorrow,DATE,0,8
1275203915403927555,"Tomorrow, President @ BarackObama and I are hosting a virtual grassroots fundraiser. We’ll be answering some of your questions and taking a few trips down memory lane. You won’t want to miss it. Time is running out to reserve your spot. RSVP today:https://secure.actblue.com/donate/biden2020_obama_grassrootsfr?source=social-tw-20200622jrcsocial&refcode=social-tw-20200622jrbsocial&utm_medium=social&utm_source=tw&utm_campaign=20200622jrbsocial …",@ BarackObama,PERSON,20,33
1275203915403927555,"Tomorrow, President @ BarackObama and I are hosting a virtual grassroots fundraiser. We’ll be answering some of your questions and taking a few trips down memory lane. You won’t want to miss it. Time is running out to reserve your spot. RSVP today:https://secure.actblue.com/donate/biden2020_obama_grassrootsfr?source=social-tw-20200622jrcsocial&refcode=social-tw-20200622jrbsocial&utm_medium=social&utm_source=tw&utm_campaign=20200622jrbsocial …",Time,ORG,195,199
1275164153817321473,"The strength of the LGBTQ+ community has always been rooted in the ability to find hope in spite of setbacks. If we stand together # UnitedByPride, we'll get through this — and emerge stronger.pic.twitter.com/nXPtQqQB98",LGBTQ+,GPE,20,26
1275164153817321473,"The strength of the LGBTQ+ community has always been rooted in the ability to find hope in spite of setbacks. If we stand together # UnitedByPride, we'll get through this — and emerge stronger.pic.twitter.com/nXPtQqQB98",UnitedByPride,MONEY,133,146
1275109292014620672,"We can overcome four years of Donald Trump. But if we give him eight years in the White House, he will forever alter the character of our nation. We can't stand by and let that happen.",four years,DATE,16,26
1275109292014620672,"We can overcome four years of Donald Trump. But if we give him eight years in the White House, he will forever alter the character of our nation. We can't stand by and let that happen.",Donald Trump,PERSON,30,42
1275109292014620672,"We can overcome four years of Donald Trump. But if we give him eight years in the White House, he will forever alter the character of our nation. We can't stand by and let that happen.",eight years,DATE,63,74
